am,y,ciiu3,publicidad,ventas,hombres,mujeres,kw
3,1983,341,4522.821428571428,307169.0357142857,58.035713,13.75,2453839.178571429
5,1983,341,408.6,360111.6,72.300003,11.6,3374590.3
6,1983,341,0,4078,6,2,14873
7,1983,341,39242.75,764007.75,188.75,55.5,7250277.25
9,1983,341,1010.4,332137.2666666667,54,10.266666,1798560.133333333
1,1983,342,299.1929824561403,99470.38596491228,42.374268,16.48538,106627.0058479532
2,1983,342,2059.472727272727,176991.2363636364,51.745453,18.90909,331369.0181818182
3,1983,342,331.5194805194805,50546.03896103896,25.077923,10.727273,96197.96103896105
4,1983,342,188.5384615384616,19964.53846153846,17.384615,7.7692308,35538.46153846154
5,1983,342,480.0689655172414,43085.58620689655,23.137932,9.4827585,126598.7586206897
6,1983,342,122.3181818181818,28507.81818181818,22.045454,13.272727,76783.27272727272
7,1983,342,63,11747.41666666667,10.583333,4.5833335,17470.83333333333
8,1983,342,654.375,23177.5,20,9.625,59658.375
9,1983,342,111.0888888888889,33329.6,14.711111,19.6,69477.64444444445
1,1983,351,992.0769230769231,240151.8076923077,42.384617,11.153846,935672.1538461539
2,1983,351,4781.7,739343.4,133,21.6,5230203.2
3,1983,351,3718.03125,545713.15625,112.53125,14.0625,6818041.5
4,1983,351,46,158497.6666666667,56.333332,5.3333335,998083.3333333334
5,1983,351,6342.5,1579557.583333333,162.66667,21.5,7920290.166666667
6,1983,351,224,29174.5,9,2,378725
7,1983,351,162,25980,8,2,42360
8,1983,351,1618.7,1704261.3,231.7,24.9,19645818.5
9,1983,351,256.5294117647059,571788.7058823529,131.23529,11.294118,11625524.88235294
1,1983,352,6725.065693430657,258727.8905109489,47.51825,36.240875,220717
2,1983,352,39131.46511627907,592705.1860465116,78.325584,49.813953,680906.1395348837
3,1983,352,6406.392156862745,244813.2352941177,37.568626,26,280098.2156862745
4,1983,352,2388,127918.75,59.75,105,266497.5
5,1983,352,1119.685714285714,75038,19.885714,14.342857,119288.8285714286
6,1983,352,39.25,17677.75,13,21.5,43037.5
7,1983,352,729.2000000000001,30795.4,16,6.1999998,74814
8,1983,352,5144.833333333333,109386.8333333333,28.833334,12,263243.6666666667
9,1983,352,1282.588235294118,95864.23529411765,36.411766,25.117647,172406.6470588235
5,1983,353,638,227258,55,12,184200
8,1983,353,0,27007778,473,33,79397133
9,1983,353,804.6,11617048.8,1060.8,94.199997,106784005
1,1983,354,4172.7,524130.9,32.700001,4.3000002,212554.8
3,1983,354,186.6666666666667,63484.66666666666,87.333336,6.3333335,366747.3333333333
5,1983,354,278,46389,11,1,39320
6,1983,354,102,74354,22,6,202215
7,1983,354,0,7922,4,0,12041
9,1983,354,235.6666666666667,116684.3333333333,31,6.6666665,336420.3333333333
1,1983,355,5389,129457.775,50.25,25.200001,370750.025
2,1983,355,10756.57142857143,1148295.571428571,237.28572,18.571428,5063841.285714285
3,1983,355,474.4285714285714,43357.42857142857,26.642857,8.5714283,173666.7857142857
4,1983,355,138,9959.333333333334,8,2,39166.66666666666
5,1983,355,2.142857142857143,15290.14285714286,10.428572,12.714286,126076.8571428571
6,1983,355,49,18148,12.625,4.5,86969.125
7,1983,355,0,15414,11,1,49125
9,1983,355,9415.375,730960.75,189.25,25.375,3326535.625
1,1983,356,1674.315315315315,168062.4144144144,47.495495,29.09009,686049.4054054054
2,1983,356,86.8,47472.62,23.360001,12.78,309008.4
3,1983,356,682.1369863013699,86724.38356164383,36.917809,15.821918,563945.7808219178
4,1983,356,200.6666666666667,48166,20,6.6666665,175000
5,1983,356,200,109071.347826087,32.782608,21.913044,600820.3478260869
6,1983,356,68.55555555555556,53260.88888888889,31.222221,6.4444447,291596.1111111111
7,1983,356,62.71428571428572,29890.42857142857,11,10.714286,222851.4285714286
8,1983,356,472.3333333333333,411578.6666666667,90,15.333333,1887884.333333333
9,1983,356,24.8,27718.5,20,9.5,318158.1
1,1983,361,6.454545454545454,6460.181818181818,8.181818,11.454545,63660
2,1983,361,0,396706,204,175,971300
3,1983,361,57.83333333333334,265485.9166666667,166.5,67.75,1896982.083333333
7,1983,361,2,3340,7,4,62500
9,1983,361,1459.461538461539,183574.5384615385,82.53846,26.538462,1321018.692307692
1,1983,362,443.0434782608696,120473.0869565217,63.95652,16.695652,1175073.608695652
2,1983,362,21.8,37075.4,24,69.400002,88950.2
3,1983,362,60.91666666666666,133033.4166666667,76.166664,8.083333,2275011.5
5,1983,362,74,528747,173,8,3589274.5
7,1983,362,319,97038,258,41,245340
9,1983,362,8937.5,1308903.833333333,383.16666,16.666666,9655930.333333334
1,1983,369,444.9866666666667,120682.2533333333,55.586666,6.0933332,523149.3333333333
2,1983,369,1260.545454545455,204470.9545454546,71.454544,6.5454545,3837304
3,1983,369,188.6067415730337,59157.84269662921,43.977528,3.4382021,464857.8539325843
4,1983,369,4512.666666666667,203562.7777777778,64,4.6666665,630138.5555555555
5,1983,369,1112.807692307692,171311.7307692308,49,3.2692308,3187887.269230769
6,1983,369,75.15000000000001,66490.10000000001,29.65,2.3,815438.85
7,1983,369,127,29016.5,16,1.5,67375
8,1983,369,126,330724.4,100.2,5.8000002,8992145.800000001
9,1983,369,564.5086206896551,148561.3620689655,65.086205,5.7413793,2794036.189655173
1,1983,371,131.8636363636364,177847.3636363637,36.772728,4.9545455,387319.4090909091
2,1983,371,445.5555555555555,327208.8888888889,117.66666,6.7777777,5284092.444444444
3,1983,371,738.4285714285714,1078594.857142857,232.14285,18.714285,11817484.71428572
4,1983,371,24,28375,43,2,554340
5,1983,371,107.75,239473.5,88,4.5,1716360
6,1983,371,14,6985.5,14,2,18196
7,1983,371,1,2084,7,0,7422
9,1983,371,3032.333333333334,1779661.25,681.75,47,52278638.58333334
1,1983,372,65.27272727272727,18961.90909090909,14.090909,2.8181818,68686.81818181818
2,1983,372,1548.2,588145.8000000001,121.2,15.8,3604073.2
3,1983,372,130.75,49929.5,23.833334,4.4166665,310796.1666666667
4,1983,372,0,6941,13,2,17500
5,1983,372,1198.25,450718.5,154,11.25,3293505.5
6,1983,372,0,12639,9,1.5,81171
9,1983,372,86.5,82464,42,14,631066.5
1,1983,381,445.1893939393939,68427.05303030303,36.541668,9.181818,201867.678030303
2,1983,381,4329.219178082192,84678.42465753424,40,9.9726028,218627.5890410959
3,1983,381,363.3695652173913,56960.91304347826,41.166668,7.210145,300508.4130434783
4,1983,381,623.1111111111111,86737.11111111111,56.833332,7.4444447,282052.7777777778
5,1983,381,122.4090909090909,57975.02272727273,24.15909,4.7727275,116313.7954545455
6,1983,381,46.85,54313.9,25.700001,2.7,387175.25
7,1983,381,13,7951.764705882353,11.411765,1.7058823,17626.05882352941
8,1983,381,141.4285714285714,50507.71428571428,36.57143,3,73687.14285714286
9,1983,381,180.9878048780488,58727.85365853659,38.402439,6.6585364,189164.0975609756
1,1983,382,501.3525179856115,71396.4964028777,36.251797,7.1223021,136816.5755395684
2,1983,382,217.8958333333333,31256.10416666667,25.416666,3.7916667,86720.29166666667
3,1983,382,462.3770491803278,64788.7868852459,45.52459,3.5081968,410200.9836065574
4,1983,382,468.5,290919.25,108.5,10,745112.5
5,1983,382,582.6875,309495.1875,108.625,10.375,376866.9375
6,1983,382,231,28448.5,23.555555,8.0555553,100896.5
7,1983,382,40.8,6526.2,10.4,1.2,19500
8,1983,382,2256.333333333334,317206.6666666667,103.33334,7.6666665,403425
9,1983,382,88.77777777777777,17838.25925925926,20.444445,2.6296296,46828.7037037037
1,1983,383,1551.135922330097,173974.2718446602,55.320389,23.31068,225813.7766990291
2,1983,383,933.5555555555555,346723.7037037037,93.259262,19.555555,760399.4444444445
3,1983,383,2041.857142857143,82786.64285714286,47.642857,14.047619,294959.6904761905
4,1983,383,80527.5,674025.5,111,169.5,781375
5,1983,383,637.8,332509.6,91.199997,19,1328671
6,1983,383,288.3333333333333,75850.66666666667,26.333334,22,383227.3333333333
7,1983,383,439.8181818181818,60450.45454545454,29.636364,25.09091,153589.0909090909
9,1983,383,1529.785714285714,49856.85714285715,32.214287,13.857142,161894.8571428571
1,1983,384,2201.021276595745,262828.8404255319,79.755318,11.212766,282237.7978723404
2,1983,384,417.9411764705882,158978.705882353,72.941177,9.1176472,218149.5882352941
3,1983,384,644.5098039215686,282246.1568627451,62.117645,5.6078429,323598.3137254902
4,1983,384,2910.5,140389.625,21.375,7,57608.25
5,1983,384,179.9090909090909,144213.7272727273,106.90909,5.909091,343158.5454545455
6,1983,384,56.08333333333334,64275.41666666666,20.25,2.4166667,116956.6666666667
7,1983,384,462.75,56458.5,21.25,3.75,309433.75
8,1983,384,748,297405.5,159.75,11,962175.5
9,1983,384,48.75,138760.8333333333,72,6.8333335,254404
1,1983,385,169.1176470588235,34562.11764705883,21.352942,13.970589,76547.26470588235
2,1983,385,35619.875,333217.875,58.5,29.875,350023
3,1983,385,71.40000000000001,24278.55,19.700001,12.6,105325.95
5,1983,385,138,65287,70,26,122896
6,1983,385,22,4905.5,5.5,6,8545
7,1983,385,26,4296,12,3,8750
9,1983,385,259.5,57023.5,38,60.5,381250
1,1983,390,968.4428571428572,40625.77142857143,17.942858,16.028572,89997.61428571428
2,1983,390,437.2857142857143,40482.23809523809,23.047619,12.809524,147276.7619047619
3,1983,390,288.1860465116279,26819.20930232558,24.627907,13.581395,134451.3488372093
4,1983,390,305,11679.66666666667,22.666666,14.333333,26416.66666666667
5,1983,390,182.2,100698.8,59.5,50.799999,567390.7
6,1983,390,46.14285714285715,10180.71428571429,11.142858,4.5714288,19484.42857142857
9,1983,390,24.83333333333333,430444,22.166666,14.666667,38960.16666666666
1,1984,311,5880.495238095238,327210.9666666667,45.085712,22.847618,494244.7333333333
2,1984,311,8470.111111111111,401962.1527777778,48.972221,18.930555,625274.9861111111
3,1984,311,2824.672566371682,289373.5132743363,49.814159,25.053097,477624.0442477876
4,1984,311,1964.764705882353,384589.4117647059,34.588234,19.764706,293027.1176470588
5,1984,311,787.046875,416112.078125,52.765625,13.53125,834663.515625
6,1984,311,323.9770114942529,106565.7816091954,14.275862,9.9770117,303694.2873563218
7,1984,311,8510.700000000001,618490.75,52.849998,67.349998,586537.5500000001
8,1984,311,1921.3,316170.6,35.400002,14.2,784714
9,1984,311,1455.647249190939,464978.142394822,61.640778,16.097088,1169899.15210356
1,1984,312,10960.68571428571,405164.9714285714,42.828571,21.4,367753.4
2,1984,312,7723.619047619048,285690.9047619047,33.333332,16,530381.4761904762
3,1984,312,4702.416666666667,483976.875,49.166668,15.875,713067.4583333334
4,1984,312,158.5,283822.5,51.5,9,1669152
5,1984,312,7678.6,388359.25,39.549999,20.65,738271.85
6,1984,312,695.7272727272728,315343.2727272727,20.90909,7.181818,221000.1818181818
7,1984,312,214,69819.66666666667,27.666666,5.3333335,387344.6666666667
8,1984,312,846.8333333333334,331942.8333333333,22.166666,8.166667,357938.8333333333
9,1984,312,5241.173076923077,601704.4423076923,52.115383,15.057693,1290850.461538462
1,1984,313,24488,1334495.777777778,212.48148,42.925926,2422314.851851852
2,1984,313,17075.44444444445,1027904.222222222,190.44444,32.333332,2035308.111111111
3,1984,313,64320,2535101.125,367.125,57.875,3729250.25
4,1984,313,33428.5,1391605.5,283.5,70,2129897
5,1984,313,27034.5,1625847.5,301.5,49.333332,4883693
6,1984,313,29745,1130245.4,233.2,34.200001,2521280.2
7,1984,313,15765.25,746385,157.75,18,1538704.25
8,1984,313,21930,800669,242,63,1648226.333333333
9,1984,313,12418.47540983607,593148.6885245901,127.18033,19.09836,1202093.540983607
1,1984,314,99087,2073768,322,120.5,1980977.5
2,1984,314,23200,608917,201,23,502978
3,1984,314,146000,6821366,816,179,6881000
5,1984,314,1640,2175519,167,38,961500
6,1984,314,10279.6,254270.8,83.599998,34.799999,327060.2
9,1984,314,16,11582.6,15.8,8.8000002,233465.4
1,1984,321,612.7873563218391,174705.3505747127,42.902298,47.132183,639364.7873563218
2,1984,321,1289.05,210878.7,53.25,55.450001,593536.5500000001
3,1984,321,2064.533783783784,426076.3986486486,127.35135,39.891891,2379086.959459459
4,1984,321,1417.666666666667,332370.1666666667,154,30.166666,2746350.166666667
5,1984,321,408.7692307692308,190187.1538461538,49,23.307692,1435800.692307692
6,1984,321,389.25,56699.25,30,72.75,234957.25
7,1984,321,4846.333333333333,542873,118.83334,101,1681240.166666667
9,1984,321,533.4545454545455,156705.1818181818,93.218185,22.327272,1624180.781818182
1,1984,322,871.4272300469484,68838.40375586854,12.812206,49.812206,73440.94835680751
2,1984,322,761.351724137931,46631.75862068965,11.55862,42.124138,54593.20689655173
3,1984,322,910.4488448844885,46409.51815181518,9.1617165,34.557755,67215.97359735974
